Model Name (ID's which detail page to populate),Date,Announced/Updated,Update,"Link (""Learn More"")",Unique ID
Next Generation ACO Model,3/10/2015,,Offering a new opportunity in accountable care,http://innovation.cms.gov/initiatives/Next-Generation-ACO-Model/index.html,280
Next Generation ACO Model,3/13/2015,,First open door forum,http://innovation.cms.gov/resources/nextgenaco-odf1.html,281
Oncology Care Model,3/13/2015,,Webinar focusing on payer participation,http://innovation.cms.gov/resources/OCMpayer.html,282
Next Generation ACO Model,3/18/2015,,First open door forum slides posted,http://innovation.cms.gov/resources/nextgenaco-odf1.html,283
Next Generation ACO Model,3/23/2015,,"Second, third and fourth open door forums",http://innovation.cms.gov/initiatives/Next-Generation-ACO-Model/index.html,284
Oncology Care Model,3/24/2015,,Payer participation webinar slides posted,http://innovation.cms.gov/resources/OCMpayer.html,285
Health Care Payment Learning and Action Network,3/25/2015,,List of partners that have set organization specific goals,http://innovation.cms.gov/initiatives/Health-care-payment-learning-and-action-network/partners.html,286
Next Generation ACO Model,3/27/2015,,Second open door forum slides posted,http://innovation.cms.gov/resources/nextgenaco-odf2.html,287
Medicare Imaging Demonstration,3/30/2015,,Implementation report posted,http://innovation.cms.gov/initiatives/Medicare-Imaging/,288
Comprehensive Primary Care Initiative,3/31/2015,,Practice Spotlight posted,http://innovation.cms.gov/initiatives/Comprehensive-Primary-Care-Initiative/,289
BPCI Model 2: Retrospective Acute & Post Acute Care Episode,4/1/2015,,Three-day hospital stay waiver posted,http://innovation.cms.gov/initiatives/BPCI-Model-2/index.html,290
Next Generation ACO Model,4/3/2015,,Third open door forum slides posted,http://innovation.cms.gov/resources/nextgenaco-odf3.html,291
Health Care Payment Learning and Action Network,4/8/2015,,Initial March 25 kickoff event summary document posted,http://innovation.cms.gov/initiatives/Health-Care-Payment-Learning-and-Action-Network/,292
Next Generation ACO Model,4/9/2015,,Fourth open door forum slides and audio posted,http://innovation.cms.gov/resources/nextgenaco-odf4.html,293
Health Care Innovation Awards,4/10/2015,,Seven evaluation reports posted,http://innovation.cms.gov/initiatives/Health-Care-Innovation-Awards/,294
Next Generation ACO Model,4/16/2015,,Fifth open door forum slides and audio posted,http://innovation.cms.gov/resources/nextgenaco-odf5.html,295
Oncology Care Model,4/16/2015,,Webinar focusing on Frequently Asked Questions (FAQs) and application overview,http://innovation.cms.gov/resources/OCMapplication.html,296
 ,4/20/2015,,Medicare Advantage (MA) Quality Bonus Payment Demonstration evaluation report posted,http://innovation.cms.gov/Data-and-Reports/index.html,297
Comprehensive Primary Care Initiative,4/22/2015,,Practice Spotlight posted,http://innovation.cms.gov/initiatives/Comprehensive-Primary-Care-Initiative/,298
Medicare Health Care Quality Demonstration,4/30/2015,,Indiana Health Information Exchange & North Carolina-Community Care Network year three performance results and evaluation reports posted,http://innovation.cms.gov/initiatives/Medicare-Health-Care-Quality/,299
Next Generation ACO Model,4/30/2015,,Pioneer and Next Generation ACO comparison fact sheet posted,http://innovation.cms.gov/initiatives/Next-Generation-ACO-Model/,300
Pioneer ACO Model,5/4/2015,,Evaluation report for performance years 1-2 and certification memo posted,http://innovation.cms.gov/initiatives/Pioneer-ACO-Model/#collapse-pioneerlist,301
Strong Start for Mothers and Newborns Initiative: Enhanced Prenatal Care Models,5/5/2015,,First evaluation report posted,http://innovation.cms.gov/initiatives/Strong-Start-Strategy-2/index.html,302
Transforming Clinical Practice Initiative,4/27/2015,,Frequently Asked Questions (FAQs) posted,http://innovation.cms.gov/initiatives/Transforming-Clinical-Practices/,303
State Innovation Models Initiative: Model Design Awards Round One,5/7/2015,,Final evaluation report posted,http://innovation.cms.gov/initiatives/State-Innovations-Model-Design/index.html,304
State Innovation Models Initiative: Model Pre-Test Awards,5/7/2015,,Final evaluation report posted,http://innovation.cms.gov/initiatives/State-Innovations-Model-Pre-Testing/index.html,305
State Innovation Models Initiative: Model Test Awards Round One,5/7/2015,,First annual report posted,http://innovation.cms.gov/initiatives/State-Innovations-Model-Testing/index.html,306
Oncology Care Model,4/16/2015,,Payer Letter of Intent submissions posted,http://innovation.cms.gov/initiatives/Oncology-Care/,307
Oncology Care Model,5/5/2015,,Request for Applications posted,http://innovation.cms.gov/initiatives/Oncology-Care/,308
Oncology Care Model,5/5/2015,,Frequently Asked Questions posted,http://innovation.cms.gov/initiatives/Oncology-Care/,309
Oncology Care Model,5/14/2015,,Practice Letter of Intent submissions posted,http://innovation.cms.gov/initiatives/Oncology-Care/,310
Health Care Payment Learning and Action Network,5/21/2015,,Guiding Committee membership document posted,http://innovation.cms.gov/initiatives/Health-Care-Payment-Learning-and-Action-Network/,312
Million Hearts: Cardiovascular Disease Risk Reduction Model,5/28/2015,,Unique opportunity for healthcare providers to reduce cardiovascular disease risk among Medicare beneficiaries,http://innovation.cms.gov/initiatives/Million-Hearts-CVDRRM/,313
ACO Investment Model,6/2/2015,,Preview versions of application documents available for July 1 application acceptance period,http://innovation.cms.gov/initiatives/ACO-Investment-Model/,314
Health Care Payment Learning and Action Network,6/10/2015,,Blog update from Dr. Patrick Conway and June 10 webinar,http://innovation.cms.gov/initiatives/Health-Care-Payment-Learning-and-Action-Network/,315
Independence at Home Demonstration,6/18/2015,,Practice year one performance results,http://innovation.cms.gov/initiatives/Independence-at-Home/,316
Oncology Care Model,6/19/2015,,Frequently Asked Questions posted,http://innovation.cms.gov/initiatives/Oncology-Care/,317
Medicare Intravenous Immune Globulin (IVIG) Demonstration,6/22/2015,,Frequently Asked Questions posted,http://innovation.cms.gov/initiatives/IVIG/,318
ACO Investment Model,6/25/2015,,Two model design modifications,http://innovation.cms.gov/initiatives/ACO-Investment-Model/,319
Million Hearts: Cardiovascular Disease Risk Reduction Model,6/26/2015,,"Application and model overview webinar July 1, 2015",http://innovation.cms.gov/resources/mhcvdrrm-overview.html,320
Comprehensive Primary Care Initiative,6/29/2015,,Practice Spotlight posted,http://innovation.cms.gov/initiatives/Comprehensive-Primary-Care-Initiative/,321
Initiative to Reduce Avoidable Hospitalizations Among Nursing Facility Residents,7/1/2015,,Evaluation report through December 2014 posted,http://innovation.cms.gov/initiatives/rahnfr/,323
Oncology Care Model,6/30/2015,,Application submission deadline,http://innovation.cms.gov/initiatives/Oncology-Care/,324
Million Hearts: Cardiovascular Disease Risk Reduction Model,7/8/2015,,Overview webinar materials posted,http://innovation.cms.gov/initiatives/Million-Hearts-CVDRRM/index.html,325
Comprehensive Care for Joint Replacement Model,7/9/2015,,Seeking public input on proposed model to improve care and efficiencies for hip and knee replacement surgeries,http://innovation.cms.gov/initiatives/ccjr/,326
FQHC Advanced Primary Care Practice Demonstration,7/13/2015,,Second evaluation report posted,http://innovation.cms.gov/initiatives/FQHCs/,327
Comprehensive Care for Joint Replacement Model,7/14/2015,,Overview webinars July 15-July 16,http://innovation.cms.gov/resources/ccjr-overview-webinars.html,328
ACO Investment Model,7/14/2015,,Application open door forums July 23,http://innovation.cms.gov/resources/aim-odf.html,329
Medicare Care Choices Model,7/20/2015,,More than 140 hospices participating to improve care for hospice beneficiaries,http://innovation.cms.gov/initiatives/Medicare-Care-Choices/,330
Comprehensive Care for Joint Replacement Model,7/24/2015,,Revised average regional historical episodes worksheet posted,http://innovation.cms.gov/initiatives/ccjr/,331
Comprehensive Primary Care Initiative,7/27/2015,,Latest edition of Pathways Program posted,http://innovation.cms.gov/initiatives/Comprehensive-Primary-Care-Initiative/,332
Comprehensive Primary Care Initiative,7/28/2015,,Practice Spotlight posted,http://innovation.cms.gov/initiatives/Comprehensive-Primary-Care-Initiative/,333
ACO Investment Model,8/7/2015,,Application open door forum slides posted,http://innovation.cms.gov/resources/aim-odf.html,334
Comprehensive Care for Joint Replacement Model,8/25/2015,,Federal Register correction notice,http://innovation.cms.gov/initiatives/ccjr/,335
Pioneer ACO Model,8/26/2015,,Financial and quality results for performance year three posted,http://innovation.cms.gov/initiatives/Pioneer-ACO-Model/,336
Initiative to Reduce Avoidable Hospitalizations Among Nursing Facility Residents,8/27/2015,,Phase Two funding opportunity,http://innovation.cms.gov/initiatives/rahnfr/,337
Comprehensive Primary Care Initiative,8/27/2015,,Practice Spotlight posted,http://innovation.cms.gov/initiatives/Comprehensive-Primary-Care-Initiative/,338
Million Hearts: Cardiovascular Disease Risk Reduction Model,8/31/2015,,Application question & answer open door forum September 3,http://innovation.cms.gov/resources/mhcvdrrm-appodf.html,339
Medicare Advantage Value-Based Insurance Design Model,9/1/2015,,Aim to test value of extra benefits or cost sharing reductions for Medicare Advantage enrollees with chronic health conditions,http://innovation.cms.gov/initiatives/vbid/,340
Home Health Value-Based Purchasing Model,7/9/2015,,Proposal to support greater quality and efficiency of care among Medicare-certified home health agencies,http://innovation.cms.gov/initiatives/home-health-value-based-purchasing-model/,341
Million Hearts: Cardiovascular Disease Risk Reduction Model,9/10/2015,,"New application deadline of October 8, 2015",http://innovation.cms.gov/initiatives/Million-Hearts-CVDRRM/,342
Medicare Advantage Value-Based Insurance Design Model,9/15/2015,,Overview webinar September 24,http://innovation.cms.gov/resources/vbid-overview.html,343
Million Hearts: Cardiovascular Disease Risk Reduction Model,9/21/2015,,Question & answer webinar,http://innovation.cms.gov/resources/mhcvdrrm-qawebinar1.html,344
Partnership for Patients,9/25/2015,,Round Two awards for Hospital Engagement Networks (HENs),http://innovation.cms.gov/initiatives/Partnership-for-Patients/,345
Part D Enhanced Medication Therapy Management Model,9/28/2015,,Testing payment incentives & regulatory flexibilities to improve care,http://innovation.cms.gov/initiatives/enhancedmtm/,346
Medicare Access and CHIP Reauthorization Act of 2015 (MACRA),9/28/2015,,Request for Information (RFI) posted,https://s3.amazonaws.com/public-inspection.federalregister.gov/2015-24906.pdf,347
Transforming Clinical Practice Initiative,9/29/2015,,39 national & regional healthcare networks to empower clinicians for better care and smarter spending,http://innovation.cms.gov/initiatives/Transforming-Clinical-Practices/,348
"Private, For-Profit Demo Project for the Program of All-Inclusive Care for the Elderly (PACE)",9/30/2015,,Access and quality of care study report posted,http://innovation.cms.gov/initiatives/PACE/,349
Medicare Access and CHIP Reauthorization Act of 2015 (MACRA),9/30/2015,,Request for Information webinar series,http://innovation.cms.gov/Webinars-and-Forums/index.html,350
Million Hearts: Cardiovascular Disease Risk Reduction Model,10/1/2015,,Second question & answer webinar,http://innovation.cms.gov/resources/mhcvdrrm-qawebinar2.html,351
Comprehensive ESRD Care Model,10/7/2015,,13 ESCOs to test new payment and service delivery options for ESRD beneficiaries,https://innovation.cms.gov/initiatives/comprehensive-ESRD-care/,352
Medicare Advantage Value-Based Insurance Design Model,10/9/2015,,Request for Applications released,http://innovation.cms.gov/initiatives/vbid/,353
Medicare Advantage Value-Based Insurance Design Model,10/9/2015,,"Model applications due January 8, 2016",http://innovation.cms.gov/initiatives/vbid/,354
Comprehensive Primary Care Initiative,10/19/2015,,Practice Spotlight posted,http://innovation.cms.gov/initiatives/Comprehensive-Primary-Care-Initiative/,355
BPCI Model 1: Retrospective Acute Care Hospital Stay Only,10/19/2015,,First annual evaluation report posted,http://innovation.cms.gov/initiatives/BPCI-Model-1/index.html,356
Comprehensive Primary Care Initiative,10/7/2015,,Shared Savings & Quality results,http://innovation.cms.gov/initiatives/Comprehensive-Primary-Care-Initiative/,357
Comprehensive Primary Care Initiative,10/7/2015,,Shared Savings methodology,http://innovation.cms.gov/initiatives/Comprehensive-Primary-Care-Initiative/,358
Medicare Advantage Value-Based Insurance Design Model,10/27/2015,,Actuarial guidance document posted,https://innovation.cms.gov/initiatives/vbid,359
Medicare Access and CHIP Reauthorization Act of 2015 (MACRA),11/4/2015,,Request for Information webinar slides posted,https://innovation.cms.gov/resources/macra-intro2.html,360
Part D Enhanced Medication Therapy Management Model,11/10/2015,,Evidence base pricing tool & prescriber technical expertise panel documents posted,https://innovation.cms.gov/initiatives/enhancedmtm/,361
Medicare Advantage Value-Based Insurance Design Model,11/12/2015,,Responses to stakeholder inquiries document posted,https://innovation.cms.gov/initiatives/vbid,362
Comprehensive Care for Joint Replacement Model,11/16/2015,,Final rule posted,https://innovation.cms.gov/initiatives/cjr,363
Comprehensive Care for Joint Replacement Model,11/17/2015,,Final rule introductory webinars,https://innovation.cms.gov/resources/cjr-finalruleintro.html,364
Comprehensive Primary Care Initiative,11/30/2015,,Practice Spotlight posted,https://innovation.cms.gov/initiatives/Comprehensive-Primary-Care-Initiative/,365
Part D Enhanced Medication Therapy Management Model,11/30/2015,,Oct 21 introduction webinar slides posted,https://innovation.cms.gov/resources/enhancedmtm-intro.html,366
Part D Enhanced Medication Therapy Management Model,12/4/2015,,HIT and Medication Therapy Management webinar,https://innovation.cms.gov/resources/enhancedmtm-hit.html,367
Home Health Value-Based Purchasing Model,12/8/2015,,Home health agencies open door forum,https://innovation.cms.gov/resources/homehealthvbp-hha.html,368
Comprehensive Primary Care Initiative,12/15/2015,,2015 Mid-Year Fast Facts document posted,http://innovation.cms.gov/initiatives/Comprehensive-Primary-Care-Initiative/,369
Comprehensive Care for Joint Replacement Model,12/16/2015,,"ICD-9, ICD-10 hip fracture diagnosis code and hospital list spreadsheets posted",https://innovation.cms.gov/initiatives/cjr,370
Medicare Advantage Value-Based Insurance Design Model,12/21/2015,,Responses to stakeholder inquiries document posted,https://innovation.cms.gov/initiatives/vbid,371
BPCI Model 1: Retrospective Acute Care Hospital Stay Only,12/21/2015,,Model to conclude at the end of Awardees third performance period,https://innovation.cms.gov/initiatives/BPCI-Model-1/,372
Home Health Value-Based Purchasing Model,12/29/2015,,Frequently asked questions posted,https://innovation.cms.gov/initiatives/home-health-value-based-purchasing-model,373
BPCI Model 2: Retrospective Acute & Post Acute Care Episode,12/30/2015,,Model episode exclusion list posted on BPCI Learning & Resources page,https://innovation.cms.gov/initiatives/Bundled-Payments/learning-area.html,374
BPCI Model 3: Retrospective Post Acute Care Only,12/30/2015,,Model episode exclusion list posted on BPCI Learning & Resources page,https://innovation.cms.gov/initiatives/Bundled-Payments/learning-area.html,375
BPCI Model 4: Prospective Acute Care Hospital Stay Only,12/30/2015,,Model episode exclusion list posted on BPCI Learning & Resources page,https://innovation.cms.gov/initiatives/Bundled-Payments/learning-area.html,376
Medicaid Emergency Psychiatric Demonstration,12/31/2015,,Appropriated funding concludes,https://innovation.cms.gov/initiatives/Medicaid-Emergency-Psychiatric-Demo/,377
Part D Enhanced Medication Therapy Management Model,12/31/2015,,Actuarial certification form posted,https://innovation.cms.gov/initiatives/enhancedmtm/,378
Comprehensive Care for Joint Replacement Model,1/4/2016,,Hospital list posted,https://innovation.cms.gov/initiatives/cjr,379
BPCI Model 2: Retrospective Acute & Post Acute Care Episode,1/4/2016,,Skilled Nursing Facility three-day hospital stay waiver document posted,https://innovation.cms.gov/initiatives/BPCI-Model-2/,380
Accountable Health Communities Model,1/5/2016,,Focusing on Medicare & Medicaid beneficiaries health-related social needs,https://innovation.cms.gov/initiatives/ahcm/,381
Next Generation ACO Model,1/11/2016,,21 ACO participants,https://innovation.cms.gov/initiatives/Next-Generation-ACO-Model/,382
ACO Investment Model,1/11/2016,,41 ACO participants,https://innovation.cms.gov/initiatives/ACO-Investment-Model/,383
Million Hearts: Cardiovascular Disease Risk Reduction Model,1/12/2016,,Frequently asked questions part two document posted,https://innovation.cms.gov/initiatives/Million-Hearts-CVDRRM/,384
Medicare Coordinated Care Demonstration,1/15/2016,,Final evaluation report for Health Quality Partners Program posted,https://innovation.cms.gov/initiatives/Medicare-Coordinated-Care/,385
Financial Alignment Initiative for Medicare-Medicaid Enrollees,1/22/2016,,Implementation and preliminary evaluation reports posted,https://innovation.cms.gov/initiatives/Financial-Alignment/,386
Accountable Health Communities Model,1/22/2016,,Frequently asked questions posted,https://innovation.cms.gov/initiatives/ahcm/faq.html,387
Financial Alignment Initiative for Medicare-Medicaid Enrollees,7/30/2015,,Rhode Island approved to participate,https://innovation.cms.gov/initiatives/Financial-Alignment/,388
Financial Alignment Initiative for Medicare-Medicaid Enrollees,8/23/2015,,New York approved for second demonstration,https://innovation.cms.gov/initiatives/Financial-Alignment/,389
Accountable Health Communities Model,1/29/2016,,Materials from 1/21 & 1/27 overview webinars posted,https://innovation.cms.gov/resources/ahcm-appreqs.html,390
Accountable Health Communities Model,1/29/2016,,Applicant self-assessment documents posted,https://innovation.cms.gov/initiatives/ahcm/,391
Initiative to Reduce Avoidable Hospitalizations among Nursing Facility Residents,2/3/2016,,Final year three evaluation report posted,https://innovation.cms.gov/initiatives/rahnfr/,392
Accountable Health Communities Model,2/9/2016,,Frequently asked questions posted,https://innovation.cms.gov/initiatives/ahcm/faq.html,393
Comprehensive Care for Joint Replacement Model,2/10/2016,,Hospital list posted,https://innovation.cms.gov/initiatives/cjr,394
Accountable Health Communities Model,2/16/2016,,Slides from state Medicaid agency role webinar posted,https://innovation.cms.gov/resources/ahcm-medicaidrole.html,395
Accountable Health Communities Model,2/16/2016,,Frequently asked questions posted,https://innovation.cms.gov/initiatives/ahcm/faq.html,396
Accountable Health Communities Model,2/22/2016,,Frequently asked questions posted,https://innovation.cms.gov/initiatives/ahcm/faq.html,397
Comprehensive Care for Joint Replacement Model,2/24/2016,,Hospital list posted,https://innovation.cms.gov/initiatives/cjr,398
Comprehensive Primary Care Initiative,2/25/2016,,Practice Spotlight posted,https://innovation.cms.gov/initiatives/Comprehensive-Primary-Care-Initiative/,399
Accountable Health Communities Model,2/26/2016,,Slides and audio recording from learning system and implementation plan guide overview webinar posted,https://innovation.cms.gov/resources/ahcm-learningsym-implplanoverview.html,400
Accountable Health Communities Model,3/2/2016,,Frequently asked questions posted,https://innovation.cms.gov/initiatives/ahcm/faq.html,401
Next Generation ACO Model,3/3/2016,,Letter of Intent (LOI) and application materials for 2017 application cycle posted,https://innovation.cms.gov/initiatives/Next-Generation-ACO-Model/,402
Health Care Payment Learning and Action Network,3/3/2016,,30 percent of Medicare payments now tied to quality through alternative payment models,https://innovation.cms.gov/initiatives/Health-Care-Payment-Learning-and-Action-Network/,403
Part D Enhanced Medication Therapy Management Model,3/4/2016,,Information materials posted for encounter data methods,https://innovation.cms.gov/initiatives/enhancedmtm/,404
Accountable Health Communities Model,3/4/2016,,"Application deadline extended until May 18, 2016",https://innovation.cms.gov/initiatives/ahcm/,405
ACO Investment Model,3/9/2016,,Frequently asked questions posted,https://innovation.cms.gov/initiatives/ACO-Investment-Model/,407
Next Generation ACO Model,3/11/2016,,Request For Applications and Letter of Intent Frequently Asked Questions documents posted,https://innovation.cms.gov/initiatives/Next-Generation-ACO-Model/,408
Medicare Advantage Quality Bonus Payment Model,3/11/2016,,Final evaluation report posted,https://innovation.cms.gov/Data-and-Reports/index.html,409
Accountable Health Communities Model,3/15/2016,,Frequently asked questions posted,https://innovation.cms.gov/initiatives/ahcm/,410
Strong Start for Mothers and Newborns Initiative: Enhanced Prenatal Care Models,3/16/2016,,Second evaluation report posted,https://innovation.cms.gov/initiatives/Strong-Start-Strategy-2/index.html,411
Medicare Intravenous Immune Globulin (IVIG) Demonstration,3/17/2016,,Interim Report To Congress (RTC) posted,https://innovation.cms.gov/initiatives/IVIG/,412
Next Generation ACO Model,3/18/2016,,Series of 2017 application open door forums 3/28-4/19,https://innovation.cms.gov/initiatives/Next-Generation-ACO-Model/,413
Health Care Innovation Awards,3/23/2016,,Round One evaluation report posted,https://innovation.cms.gov/initiatives/Health-Care-Innovation-Awards/,414
Next Generation ACO Model,3/23/2016,,2017 Application Portal now available,https://innovation.cms.gov/initiatives/Next-Generation-ACO-Model/,415
Initiative to Reduce Avoidable Hospitalizations among Nursing Facility Residents: Phase Two,3/24/2016,,Phase Two cooperative agreements,https://innovation.cms.gov/initiatives/rahnfr-phase-two/,416
Accountable Health Communities Model,3/25/2016,,Frequently asked questions posted,https://innovation.cms.gov/initiatives/ahcm/,417
Next Generation ACO Model,3/28/2016,,2017 Letter of Intent open door forum slides and audio recording posted,https://innovation.cms.gov/resources/nextgenaco-2017loioverview.html,418
Part D Enhanced Medication Therapy Management Model,3/28/2016,,Materials from 3/1 proposed encounter data specifications webinar posted,https://innovation.cms.gov/resources/enhancedmtm-encounterdataspecs.html,419
Comprehensive Care for Joint Replacement Model,3/31/2016,,Spanish language beneficiary notification letters posted,https://innovation.cms.gov/initiatives/cjr,420
BPCI Model 2: Retrospective Acute & Post Acute Care Episode,4/1/2016,,Three-day hospital stay waiver posted,https://innovation.cms.gov/initiatives/BPCI-Model-2/,421
Million Hearts: Cardiovascular Disease Risk Reduction Model,4/4/2016,,Letters of Intent and Applications being accepted until April 15,https://innovation.cms.gov/initiatives/Million-Hearts-CVDRRM/,422
Million Hearts: Cardiovascular Disease Risk Reduction Model,4/5/2016,,Application reopening period frequently asked questions posted,https://innovation.cms.gov/initiatives/Million-Hearts-CVDRRM/,423
Million Hearts: Cardiovascular Disease Risk Reduction Model,4/7/2016,,Application support webinar April 12,https://innovation.cms.gov/resources/mhcvdrrm-appsprt.html,424
Next Generation ACO Model,4/7/2016,,March 29 Application Overview Open Door Forum slides and audio posted,https://innovation.cms.gov/resources/nextgenaco-2017application.html,425
Accountable Health Communities Model,4/8/2016,,Frequently asked questions posted,https://innovation.cms.gov/initiatives/ahcm/,426
Comprehensive Primary Care Plus,4/11/2016,,National primary care medical home model aims to strengthen primary care through regionally-based multi-payer transformation,https://innovation.cms.gov/initiatives/comprehensive-primary-care-plus/,427
Comprehensive Primary Care Initiative,4/13/2016,,Second year evaluation report posted,https://innovation.cms.gov/initiatives/Comprehensive-Primary-Care-Initiative/,428
Regional Budget Payment Concept,4/14/2016,,Request for information on regional multi-payer prospective budget models posted,https://innovation.cms.gov/initiatives/regional-budget-payment/,429
Next Generation ACO Model,4/15/2016,,Open door forum focusing on population based payments and all inclusive population based payments,https://innovation.cms.gov/resources/nextgenaco-2017popbasedpayments.html,430
BPCI Model 2: Retrospective Acute & Post Acute Care Episode,4/18/2016,,Two year extension,https://innovation.cms.gov/initiatives/BPCI-Model-2/index.html,431
BPCI Model 3: Retrospective Post Acute Care Only,4/18/2016,,Two year extension,https://innovation.cms.gov/initiatives/BPCI-Model-3/index.html,432
BPCI Model 4: Prospective Acute Care Hospital Stay Only,4/18/2016,,Two year extension,https://innovation.cms.gov/initiatives/BPCI-Model-4/index.html,433
Comprehensive Primary Care Plus,4/19/2016,,Payer memorandum of understanding (MOU) posted,https://innovation.cms.gov/initiatives/comprehensive-primary-care-plus/,434
Comprehensive Primary Care Plus,4/20/2016,,Slides from Overview webinar held 4/14 and 4/19 posted,https://innovation.cms.gov/resources/cpcplus-modeloverview.html,435
Next Generation ACO Model,4/21/2016,,Materials from 4/5 Financial Methodology open door forum posted,https://innovation.cms.gov/resources/nextgenaco-2017financial.html,436
Next Generation ACO Model,4/21/2016,,Letter of intent (LOI) deadline extended to 5/20,https://innovation.cms.gov/initiatives/Next-Generation-ACO-Model/index.html,437
Comprehensive Primary Care Plus,4/22/2016,,Office hour webinar for interested payers announced,https://innovation.cms.gov/resources/cpcplus-interestedpayeroh.html,438
Accountable Health Communities Model,4/27/2016,,Frequently asked questions posted,https://innovation.cms.gov/initiatives/ahcm/,439
Comprehensive Primary Care Plus,4/27/2016,,Vendor memorandum of understanding & payer solicitation instruction documents posted,https://innovation.cms.gov/initiatives/comprehensive-primary-care-plus/,440
Medicare and CHIP Reauthorization Act of 2015,4/27/2016,,Notice of proposed rulemaking (NPRM),https://www.federalregister.gov/articles/2016/05/09/2016-10032/medicare-program-merit-based-incentive-payment-system-and-alternative-payment-model-incentive-under,441
Comprehensive Primary Care Plus,4/28/2016,,Practice care delivery requirements document posted,https://innovation.cms.gov/initiatives/comprehensive-primary-care-plus/,442
Comprehensive Primary Care Plus,4/28/2016,,Health IT vendor overview webinar slides posted,https://innovation.cms.gov/resources/cpcplus-hit.html,443
Next Generation ACO Model,4/29/2016,,Voluntary alignment frequently asked question documents posted,https://innovation.cms.gov/initiatives/Next-Generation-ACO-Model/,444
Comprehensive Primary Care Plus,5/3/2016,,Slides from 4/27 interested payer overview webinar slides posted,https://innovation.cms.gov/resources/cpcplus-interestedpayer.html,445
Medicare Advantage Value-Based Insurance Design Model,5/6/2016,,Draft communication guidance document posted,https://innovation.cms.gov/initiatives/vbid,446
Comprehensive Care for Joint Replacement Model,5/6/2016,,PBPM exclusions posted,https://innovation.cms.gov/initiatives/cjr,447
Multi-Payer Advanced Primary Care Practice,5/10/2016,,Year two and three evaluation reports posted,https://innovation.cms.gov/initiatives/Multi-Payer-Advanced-Primary-Care-Practice/,448
Next Generation ACO Model,5/11/2016,,Materials from 4/26 population based payments open door forum posted,https://innovation.cms.gov/resources/nextgenaco-2017popbasedpayments.html,449
Comprehensive Primary Care Plus,5/11/2016,,Frequently asked questions posted,https://innovation.cms.gov/initiatives/comprehensive-primary-care-plus/,450
Health Care Innovation Awards,5/12/2016,,Seven year two annual evaluation reports posted,https://innovation.cms.gov/initiatives/Health-Care-Innovation-Awards/,451
Health Care Innovation Awards,5/12/2016,,First annual meta-analysis evaluation report posted,https://innovation.cms.gov/initiatives/Health-Care-Innovation-Awards/,452
Comprehensive Primary Care Plus,5/13/2016,,Payer fact sheet posted,https://innovation.cms.gov/initiatives/comprehensive-primary-care-plus/index.html,453
Comprehensive Primary Care Plus,5/27/2016,,Frequently Asked Questions include new questions about dual participation in CPC+ and MSSP,https://innovation.cms.gov/initiatives/comprehensive-primary-care-plus/index.html,454
Comprehensive ESRD Care Model,10/1/2015,,Model launches,https://innovation.cms.gov/initiatives/comprehensive-ESRD-care/,455
Comprehensive ESRD Care Model,5/26/2016,,"Applications due for Round 2 by July 15, 2016",https://innovation.cms.gov/initiatives/comprehensive-ESRD-care/,456
Medicaid Incentives for the Prevention of Chronic Diseases Model,11/1/2013,,First evaluation Report to Congress posted,https://innovation.cms.gov/initiatives/MIPCD/,458
Medicaid Incentives for the Prevention of Chronic Diseases Model,6/10/2016,,Second evaluation Report to Congress posted,https://innovation.cms.gov/initiatives/MIPCD/,459
Comprehensive ESRD Care Model,6/13/2016,,Materials from 5/31 and 6/8 application and ESCO experience webinars posted,https://innovation.cms.gov/initiatives/comprehensive-ESRD-care/,460
Comprehensive ESRD Care Model,6/14/2016,,Round 2 RFA user manual posted,https://innovation.cms.gov/initiatives/comprehensive-ESRD-care/,461
Comprehensive ESRD Care Model,6/23/2016,,Clinical provider webinar scheduled for July 7,https://innovation.cms.gov/resources/cec-webinar5.html,463
Oncology Care Model,6/29/2016,,Nearly 200 physician group practices and 17 insurance companies participating in coordinated cancer care initiative,https://innovation.cms.gov/initiatives/Oncology-Care/,465
Comprehensive Care for Joint Replacement Model,7/1/2016,,Hospital list posted,https://innovation.cms.gov/initiatives/cjr/,466
BPCI Model 2: Retrospective Acute & Post Acute Care Episode,7/1/2016,,Three-day hospital stay waiver posted,https://innovation.cms.gov/initiatives/BPCI-Model-2/,467
Comprehensive ESRD Care Model,7/7/2016,,Materials from 6/29 finance and quality methodologies webinar posted,https://innovation.cms.gov/resources/cec-webinar4.html,468
Medicare Diabetes Prevention Program (MDPP) Expanded Model,7/7/2016,,Medicare Diabetes Prevention Program Expanded Model (MDPP),https://innovation.cms.gov/initiatives/medicare-diabetes-prevention-program/,469
Regional Budget Payment Concept,7/14/2016,,Request For Information concept comments posted,https://innovation.cms.gov/initiatives/regional-budget-payment/,470
Medicare Diabetes Prevention Program (MDPP) Expanded Model,7/14/2016,,"Overview webinar scheduled for August 9, 2016",https://innovation.cms.gov/initiatives/medicare-diabetes-prevention-program/,471
Comprehensive Primary Care Plus,7/18/2016,,Payer Frequently Asked Questions posted,https://innovation.cms.gov/initiatives/comprehensive-primary-care-plus/,472
Million Hearts: Cardiovascular Disease Risk Reduction Model,7/21/2016,,516 awardees to reduce risk of heart attack and stroke among Medicare beneficiaries,https://innovation.cms.gov/initiatives/Million-Hearts-CVDRRM/,474
